Date,Time,Moisture,Temperature,Humidity,X,Y,Z,R,G,B
11/18/2019,11:31:02,1023,4.87,94.29,0.34,-0.19,0.9,,,
11/18/2019,11:31:13,1023,4.92,94.28,0.34,-0.19,0.9,,,
11/18/2019,11:31:24,1023,4.96,94.15,0.34,-0.19,0.9,,,
11/18/2019,11:31:35,1023,4.99,93.95,0.34,-0.19,0.9,,,
11/18/2019,11:31:46,1023,5.05,94.42,0.33,-0.19,0.9,,,
11/18/2019,11:31:57,1023,5.18,94.81,0.34,-0.19,0.9,,,
11/18/2019,11:32:08,1023,5.25,94.62,0.34,-0.2,0.9,,,
11/18/2019,11:32:19,1023,5.24,93.87,0.34,-0.19,0.9,,,
11/18/2019,11:32:31,882,5.24,93.12,0.33,-0.19,0.9,,,
11/18/2019,11:32:42,873,5.2,92.74,0.34,-0.2,0.9,,,
11/18/2019,11:32:55,473,5.18,92.58,0.33,-0.19,0.9,,,
11/18/2019,11:33:06,482,5.14,92.67,0.34,-0.19,0.9,,,
11/18/2019,11:33:18,487,5.13,92.82,0.34,-0.19,0.9,,,
11/18/2019,11:33:29,496,5.12,92.97,0.33,-0.19,0.9,,,
11/18/2019,11:33:40,485,5.12,93.05,0.34,-0.19,0.9,,,
11/18/2019,11:33:51,472,5.14,93.02,0.33,-0.19,0.9,,,
11/18/2019,11:34:03,498,5.12,92.91,0.34,-0.19,0.91,,,
11/18/2019,11:34:14,471,5.12,92.79,0.34,-0.19,0.9,,,
11/18/2019,11:34:25,485,5.06,92.67,0.33,-0.2,0.91,,,
11/18/2019,11:34:37,510,5.05,92.49,0.34,-0.19,0.91,,,
11/18/2019,11:34:48,499,5.03,92.43,0.33,-0.19,0.91,,,
11/18/2019,11:35:00,487,4.98,92.38,0.33,-0.19,0.91,,,
11/18/2019,11:36:09,461,4.92,92.96,0.33,-0.19,0.91,,,
11/18/2019,11:36:26,471,4.94,92.99,0.34,-0.19,0.91,,,
11/18/2019,11:36:44,460,4.92,93.02,0.34,-0.19,0.9,,,
11/18/2019,11:37:03,480,4.95,93.03,0.34,-0.19,0.9,,,
11/18/2019,11:37:14,549,4.94,93.03,0.34,-0.19,0.9,,,
11/18/2019,11:37:26,467,4.94,93.07,0.33,-0.19,0.91,,,
11/18/2019,11:37:47,447,4.95,93.12,0.33,-0.19,0.9,,,
11/18/2019,11:38:08,488,4.98,93.12,0.33,-0.19,0.91,,,
11/18/2019,11:38:28,495,4.99,93.18,0.34,-0.19,0.9,,,
11/18/2019,11:38:49,467,5.03,93.16,0.34,-0.19,0.91,,,
11/18/2019,11:39:10,481,5.02,93.13,0.34,-0.2,0.9,,,
11/18/2019,11:39:21,448,5.03,93.2,0.34,-0.19,0.91,,,
11/18/2019,11:39:40,478,5.07,93.4,0.34,-0.19,0.91,,,
11/18/2019,11:39:56,460,5.09,93.37,0.34,-0.19,0.9,,,
11/18/2019,11:40:08,540,5.14,93.25,0.33,-0.19,0.9,,,
11/18/2019,11:41:02,448,5.18,92.88,0.34,-0.19,0.9,,,
11/18/2019,11:41:29,471,5.2,92.66,0.33,-0.2,0.91,,,
11/18/2019,11:42:06,430,5.16,92.6,0.33,-0.19,0.9,,,
11/20/2019,9:59:32,362,6.55,64.61,0.34,-0.2,0.9,,,
11/20/2019,10:02:39,355,6.46,65.35,0.34,-0.19,0.91,,,
11/20/2019,10:03:04,342,6.5,65.35,0.34,-0.2,0.91,,,
11/20/2019,10:03:38,328,6.56,64.61,0.34,-0.2,0.91,,,
11/20/2019,10:04:07,338,6.55,64.67,0.34,-0.2,0.91,,,
11/20/2019,12:23:45,294,8.25,55.54,0.33,-0.19,0.9,,,
11/20/2019,12:23:56,302,8.25,55.69,0.33,-0.19,0.9,,,
